0 -> 0,7 -> 6,16 -> 14,17 -> 15
0 -> 0,9 -> 8,21 -> 18,11 -> 9
0 -> 0,8 -> 7,20 -> 18,8 -> 7
0 -> 0,9 -> 8,20 -> 18,9 -> 8
0 -> 0,6 -> 5,17 -> 15,9 -> 8
0 -> 0,6 -> 5,17 -> 15,8 -> 7
0 -> 0,5 -> 4,19 -> 17,9 -> 8
0 -> 0,4 -> 3,19 -> 17,6 -> 5
0 -> 0,4 -> 3,21 -> 18,7 -> 6
0 -> 0,5 -> 4,29 -> 26,7 -> 6
0 -> 0,3 -> 2,28 -> 25,8 -> 7
0 -> 0,3 -> 2,30 -> 27,9 -> 8
0 -> 0,3 -> 2,32 -> 28,9 -> 8
0 -> 0,0 -> 0,31 -> 27,8 -> 7
0 -> 0,2 -> 1,30 -> 27,10 -> 9
0 -> 0,2 -> 1,30 -> 27,9 -> 8
0 -> 0,2 -> 1,24 -> 21,9 -> 8
0 -> 0,3 -> 2,31 -> 27,10 -> 9
0 -> 0,3 -> 2,19 -> 17,8 -> 7
0 -> 0,5 -> 4,21 -> 18,27 -> 24
0 -> 0,5 -> 4,22 -> 19,7 -> 6
0 -> 0,6 -> 5,22 -> 19,6 -> 5
0 -> 0,4 -> 3,22 -> 19,6 -> 5
0 -> 0,4 -> 3,21 -> 18,5 -> 4
0 -> 0,6 -> 5,23 -> 20,4 -> 3
0 -> 0,5 -> 4,21 -> 18,4 -> 3
0 -> 0,5 -> 4,19 -> 17,3 -> 2
0 -> 0,7 -> 6,16 -> 14,3 -> 2
0 -> 0,6 -> 5,16 -> 14,4 -> 3
0 -> 0,6 -> 5,16 -> 14,3 -> 2
0 -> 0,7 -> 6,15 -> 13,3 -> 2
0 -> 0,8 -> 7,17 -> 15,0 -> 0
0 -> 0,9 -> 8,18 -> 16,4 -> 3
0 -> 0,12 -> 10,17 -> 15,11 -> 9
0 -> 0,11 -> 9,16 -> 14,4 -> 3
0 -> 0,11 -> 9,15 -> 13,4 -> 3
0 -> 0,10 -> 9,14 -> 12,4 -> 3
0 -> 0,10 -> 9,10 -> 9,3 -> 2
0 -> 0,9 -> 8,8 -> 7,2 -> 1
0 -> 0,7 -> 6,8 -> 7,2 -> 1
0 -> 0,15 -> 13,2 -> 1,0 -> 0
0 -> 0,3 -> 2,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
